Trans_Time,Cost
datetime,float
T,
7/31/2010 0:33,463.49
7/31/2010 0:33,157.6
7/31/2010 0:34,84.08
7/31/2010 0:34,185
7/31/2010 0:34,444.45
7/31/2010 0:34,568.44
7/31/2010 0:34,307.92
7/31/2010 0:34,311.47
7/31/2010 0:34,99.1
7/31/2010 0:34,492.45
7/31/2010 0:35,625.01
7/31/2010 0:35,143.64
7/31/2010 0:35,569.3
7/31/2010 0:35,282.43
7/31/2010 0:35,250.67
7/31/2010 0:36,488.25
7/31/2010 0:36,58.4
7/31/2010 0:36,198.61
7/31/2010 0:36,134
7/31/2010 0:36,687.13
7/31/2010 0:36,336.4
7/31/2010 0:36,75
7/31/2010 0:36,58
7/31/2010 0:36,174.5
7/31/2010 0:36,520.92
7/31/2010 0:37,438.89
7/31/2010 0:37,276.97
7/31/2010 0:37,145.53
7/31/2010 0:37,528.35
7/31/2010 0:38,634.53
7/31/2010 0:38,594.27
7/31/2010 0:38,519.64
7/31/2010 0:38,50.03
7/31/2010 0:38,51.2
7/31/2010 0:38,241.11
7/31/2010 0:39,528.54
7/31/2010 0:39,417.54
7/31/2010 0:39,525.23
7/31/2010 0:39,445.8
7/31/2010 0:40,434.52
7/31/2010 0:40,155.17
7/31/2010 0:40,395.93
7/31/2010 0:40,144.76
7/31/2010 0:40,196.53
7/31/2010 0:40,201.03
7/31/2010 0:40,612.56
7/31/2010 0:40,269.22
7/31/2010 0:40,99.7
7/31/2010 0:41,138
7/31/2010 0:41,98.6
7/31/2010 0:41,141.8
7/31/2010 0:41,425.34
7/31/2010 0:41,15.45
7/31/2010 0:42,71
7/31/2010 0:42,191
7/31/2010 0:42,124.8
7/31/2010 0:42,114.1
7/31/2010 0:42,181.5
7/31/2010 0:42,114.1
7/31/2010 0:42,299.89
7/31/2010 0:42,503.03
7/31/2010 0:42,148
7/31/2010 0:42,352.13
7/31/2010 0:42,173.35
7/31/2010 0:43,410.98
7/31/2010 0:43,333.16
7/31/2010 0:43,183
7/31/2010 0:43,366.8
7/31/2010 0:43,183.3
7/31/2010 0:43,206.47
7/31/2010 0:44,130.7
7/31/2010 0:44,53.1
7/31/2010 0:44,301.58
7/31/2010 0:44,595.48
7/31/2010 0:44,575.26
7/31/2010 0:44,170.6
7/31/2010 0:45,189.62
7/31/2010 0:45,461.13
7/31/2010 0:45,272.63
7/31/2010 0:45,232.34
7/31/2010 0:45,197.54
7/31/2010 0:45,291
7/31/2010 0:45,524.89
7/31/2010 0:45,123.74
7/31/2010 0:46,322.01
7/31/2010 0:46,152.96
7/31/2010 0:46,115
7/31/2010 0:46,538.99
7/31/2010 0:46,434.08
7/31/2010 0:46,79.2
7/31/2010 0:46,247.22
7/31/2010 0:47,280.77
7/31/2010 0:47,234.99
7/31/2010 0:47,500.59
7/31/2010 0:48,268.52
7/31/2010 0:48,99.1
7/31/2010 0:48,315.99
7/31/2010 0:48,521.13
7/31/2010 0:48,443.16
7/31/2010 0:48,136.6
7/31/2010 0:49,530.71
7/31/2010 0:49,320.64
7/31/2010 0:49,172.7
7/31/2010 0:49,689.94
7/31/2010 0:50,62
7/31/2010 0:50,508.82
7/31/2010 0:50,23.25
7/31/2010 0:50,513.65
7/31/2010 0:50,440.7
7/31/2010 0:50,321.89
7/31/2010 0:50,78.9
7/31/2010 0:50,129.95
7/31/2010 0:51,434.62
7/31/2010 0:51,364.6
7/31/2010 0:51,192.34
7/31/2010 0:51,156.46
7/31/2010 0:51,686.6
7/31/2010 0:51,446.93
7/31/2010 0:51,154.2
7/31/2010 0:52,316.53
7/31/2010 0:52,161.34
7/31/2010 0:52,208.7
7/31/2010 0:53,249.3
7/31/2010 0:53,126.93
7/31/2010 0:54,468.1
7/31/2010 0:54,302
7/31/2010 0:54,548
7/31/2010 0:54,264.43
7/31/2010 0:54,221.8
7/31/2010 0:54,400.6
7/31/2010 0:54,369.46
7/31/2010 0:55,289.96
7/31/2010 0:55,252.78
7/31/2010 0:55,0.3
7/31/2010 0:55,171.51
7/31/2010 0:55,268.43
7/31/2010 0:55,109.2
7/31/2010 0:55,310.31
7/31/2010 0:55,350.58
7/31/2010 0:56,291.6
7/31/2010 0:56,282.33
7/31/2010 0:56,32.54
7/31/2010 0:56,397.9
7/31/2010 0:56,134.52
7/31/2010 0:56,438.67
7/31/2010 0:57,193.35
7/31/2010 0:57,442.35
7/31/2010 0:57,130.4
7/31/2010 0:58,151.75
7/31/2010 0:58,25.01
7/31/2010 0:58,143.56
7/31/2010 0:58,473.7
7/31/2010 0:58,76
7/31/2010 0:58,589.53
7/31/2010 0:58,335.41
7/31/2010 0:58,396.12
7/31/2010 0:58,80
7/31/2010 0:59,200.72
7/31/2010 0:59,244.79
7/31/2010 0:59,296.73
7/31/2010 0:59,153.25
7/31/2010 1:00,60.55
7/31/2010 1:00,144.95
7/31/2010 1:00,160.69
7/31/2010 1:00,115.3
7/31/2010 1:00,434.87
7/31/2010 1:00,170.3
7/31/2010 1:00,135.06
7/31/2010 1:00,89.7
7/31/2010 1:00,124.1
7/31/2010 1:00,122.3
7/31/2010 1:01,214.22
7/31/2010 1:01,147.1
7/31/2010 1:01,104.4
7/31/2010 1:01,0
7/31/2010 1:01,511.01
7/31/2010 1:02,7.5
7/31/2010 1:02,107.6
7/31/2010 1:02,448.08
7/31/2010 1:02,200.61
7/31/2010 1:03,110.11
7/31/2010 1:03,146.12
7/31/2010 1:03,219.45
7/31/2010 1:04,542.17
7/31/2010 1:04,240
7/31/2010 1:04,283.57
7/31/2010 1:05,367.25
7/31/2010 1:05,250.01
7/31/2010 1:05,335.37
7/31/2010 1:05,146.49
7/31/2010 1:06,225.78
7/31/2010 1:06,545.31
7/31/2010 1:06,213.35
7/31/2010 1:06,194.94
7/31/2010 1:06,124.55
7/31/2010 1:06,377.98
7/31/2010 1:06,295.11
7/31/2010 1:07,150.1
7/31/2010 1:07,563.14
7/31/2010 1:07,270.3
7/31/2010 1:07,148
7/31/2010 1:07,522.86
7/31/2010 1:08,414.58
7/31/2010 1:08,325
7/31/2010 1:08,194.54
7/31/2010 1:08,203.58
7/31/2010 1:08,199.46
7/31/2010 1:10,124.92
7/31/2010 1:10,62.31
7/31/2010 1:11,204.45
7/31/2010 1:11,302
7/31/2010 1:11,355.45
7/31/2010 1:11,145.65
7/31/2010 1:11,30.15
7/31/2010 1:11,266.31
7/31/2010 1:11,154.9
7/31/2010 1:12,171
7/31/2010 1:12,180.01
7/31/2010 1:12,52.5
7/31/2010 1:12,243.7
7/31/2010 1:12,103.37
7/31/2010 1:13,418.05
7/31/2010 1:13,257.26
7/31/2010 1:13,171.56
7/31/2010 1:13,422.03
7/31/2010 1:13,172.1
7/31/2010 1:13,362.86
7/31/2010 1:13,612.09
7/31/2010 1:14,131
7/31/2010 1:14,116.9
7/31/2010 1:14,503.35
7/31/2010 1:14,466.02
7/31/2010 1:14,197.18
7/31/2010 1:14,0
7/31/2010 1:15,137.55
7/31/2010 1:15,438.36
7/31/2010 1:15,73.9
7/31/2010 1:15,230.71
7/31/2010 1:15,99.1
7/31/2010 1:15,443.55
7/31/2010 1:16,373.53
7/31/2010 1:16,275.99
7/31/2010 1:16,516.33
7/31/2010 1:16,362.61
7/31/2010 1:16,27.15
7/31/2010 1:16,150.75
7/31/2010 1:16,397.41
7/31/2010 1:16,237.08
7/31/2010 1:16,401.87
7/31/2010 1:16,156.98
7/31/2010 1:16,164.6
7/31/2010 1:16,156.32
7/31/2010 1:17,92.5
7/31/2010 1:17,182.64
